"k,m,s,h,a",match
"h,q,b,b,h",match
"nama,rata,nama,haha,rata",spell
"mapa,bala,bala,nako,nako",Sound
"s,f,q,l,m",match
"m,e,f,s,t",match
"q,t,m,s,l",matchSound
"b,f,f,e,m",match
"t,m,p,e,r",match
"t,r,q,t,e",matchSound
"l,r,b,f,m",matchfirst
"m,t,q,q,f",matchfirst
"j,p,r,h,p",matchSound
"f,b,b,s,t",matchfirst
"b,p,b,p,s",matchfirst
"sete,meno,feiye,feiye,feiye",spell
"leka,sesa,beha,qeta,teko",spell
"leru,qeta,lefa,sesa,qeta",Sound
"p,b,i,f,p",match
"i,b,m,p,i",match
"f,l,p,b,b",matchSound
"f,f,b,b,b",match
"f,b,p,p,b",match
"p,k,a,p,s",match
"p,i,p,p,p",matchSound
"p,f,b,p,b",matchfirst
"f,b,p,b,f",matchfirst
"f,f,b,p,b",matchfirst
"p,b,b,f,p",matchfirst
"dijo,fihla,bina,bina,pina",spell
"fihla,bina,mmino,mmino,fihla",spell
"bina,mmino,bina,mmino,bina",Sound
"h,p,r,n,l",match
"p,r,h,h,k",match
"r,b,a,n,s",match
"h,k,l,h,h",matchSound
"k,n,l,l,r",match
"h,o,r,p,m",match
"b,p,p,k,m",matchSound
"h,p,n,b,r",matchfirst
"l,l,n,m,l",matchfirst
"n,l,h,m,l",matchfirst
"p,l,n,n,r",matchfirst
"bona,boto,moru,poso,pota",spell
"bona,roma,hora,hora,moru",spell
"a,q,m,k,p",matchSound
"noka,hora,noka,noka,kotsi",Sound
"l,u,h,t,l",match
"b,t,h,u,t",match
"p,h,t,s,b",matchSound
"b,p,b,s,l",match
"h,p,s,s,b",match
"h,s,l,t,t",matchSound
"p,b,s,b,t",matchfirst
"s,p,t,b,t",matchfirst
"t,t,s,t,s",matchfirst
"h,n,r,r,p",matchfirst
"p,p,s,t,b",matchfirst
"suna,busa,suna,dula,sutu",spell
"pula,puo,tumo,puo,putswa",spell
"bua,bua,sutu,suna,dula",Sound
"u,l,s,s,h",match
"p,h,l,u,l",match
"s,t,s,t,h",matchSound
"s,b,p,p,p",match
"h,t,s,b,l",match
"b,h,u,h,b",matchSound
"n,n,p,r,r",matchfirst
"b,b,t,s,b",matchfirst
"t,p,s,s,b",matchfirst
"b,p,b,b,s",matchfirst
"p,s,b,p,p",matchfirst
"busa,sutu,sutu,tumo,busa",spell
"dula,suna,busa,busa,dula",spell
"dula,bua,busa,dula,dula",Sound
"r,k,q,k,k",matchfirst
"haha,nama,bala,katse,nama",spell
