"d,a,a,n,x",match
"x,n,b,p,x",match
"banh,banh,dành,dành,nhành",spell
"phanh,nhánh,nhánh,bành,bành",Sound
"t,t,s,v,t",match
"t,s,t,m,t",match
"t,t,e,e,v",matchSound
"s,t,m,t,s",match
"m,t,m,e,m",match
"e,v,v,m,t",matchSound
"s,m,m,v,s",matchfirst
"s,s,s,s,m",matchfirst
"p,b,p,a,n",matchSound
"m,m,v,s,s",matchfirst
"m,t,t,s,v",matchfirst
"nhát,xác,nhát,phách,phách",spell
"nhàm,bác,bang,nhàm,dán",spell
"mẹt,phách,phách,dát,bang",Sound
"i,p,n,k,i",match
"c,n,g,i,p",match
"n,k,p,p,n",matchSound
"i,k,k,n,g",match
"n,g,i,n,i",match
"n,n,b,x,x",match
"n,gh,n,c,k",matchSound
"n,k,p,n,n",matchfirst
"ch,n,ch,k,k",matchfirst
"n,ch,k,ch,ch",matchfirst
"ch,ch,k,k,ch",matchfirst
"méc,kích,men,men,kịp",spell
"men,ven,ven,kích,nghịch",spell
"kịch,tép,kịp,ven,méc",Sound
"l,đ,ng,l,o",match
"o,đ,o,gi,h",match
"a,b,n,x,n",match
"o,h,ng,g,gi",matchSound
"l,l,h,l,n",match
"g,đ,o,l,g",match
"l,ng,đ,n,h",matchSound
"l,h,h,l,h",matchfirst
"n,h,ng,l,ng",matchfirst
"đ,l,gi,đ,h",matchfirst
"h,g,n,h,đ",matchfirst
"kim,pin,giọng,ghim,gióng",spell
"đóng,kinh,lọng,lóng,kín",spell
"p,a,d,n,n",matchSound
"kim,đong,kim,lọng,kính",Sound
"t,r,t,t,th",match
"g,u,kh,t,r",match
"kh,kh,th,u,r",matchSound
"u,t,r,r,u",match
"u,kh,gi,g,t",match
"ng,u,n,g,u",matchSound
"ng,c,g,ng,kh",matchfirst
"th,g,g,c,c",matchfirst
"c,c,kh,th,th",matchfirst
"d,x,p,x,x",matchfirst
"n,n,r,gi,c",matchfirst
"cút,lọt,thúc,cúm,cún",spell
"gục,gục,gục,hõm,cụt",spell
"lóc,khung,hòn,nung,lon",Sound
"r,k,r,c,r",match
"c,t,u,n,t",match
"th,c,th,c,u",matchSound
"r,th,kh,th,u",match
"n,u,u,kh,c",match
"kh,g,r,c,c",matchSound
"d,n,d,b,b",matchfirst
"r,kh,kh,g,r",matchfirst
"th,c,c,c,g",matchfirst
"n,r,ng,ng,g",matchfirst
"r,kh,r,gi,g",matchfirst
"cũng,lót,hóc,khùng,lọc",spell
"cụt,hòn,thun,giọt,ngọt",spell
"đọc,khủng,cung,núp,nung",Sound
"d,x,x,p,b",matchfirst
"xanh,phanh,xanh,danh,bành",spell
